Company Rank,Company Name,Link to statement ,Another Link for statement,picture of their executive team,Link their public Diversity/Inclusion report,ICE Collab
1,Walmart,https://corporate.walmart.com/newsroom/2020/06/12/advancing-our-work-on-racial-equity,,https://corporate.walmart.com/our-story/leadership,https://corporate.walmart.com/global-responsibility/diversity-equity-and-inclusion,
2,Amazon.com,https://twitter.com/amazon/status/1267140211861073927/photo/1,https://twitter.com/amazonnews/status/1268240752989126657/photo/1,https://ir.aboutamazon.com/officers-and-directors/default.aspx,https://www.aboutamazon.com/working-at-amazon/diversity-and-inclusion/our-workforce-data,https://www.technologyreview.com/2018/10/22/139639/amazon-is-the-invisible-backbone-behind-ices-immigration-crackdown/
3,Exxon Mobile,Somethimg was released as stated by news articles but nothing can be found ,,https://corporate.exxonmobil.com/Company/Who-we-are/Management-Committee#DarrenWWoods,https://corporate.exxonmobil.com/Community-engagement/Sustainability-Report/Social/Healthy-and-engaged-workforce,
4,Apple,https://www.apple.com/speaking-up-on-racism/,,https://www.apple.com/in/leadership/,https://www.apple.com/diversity/,
5,CVS Health,https://twitter.com/CVSHealth/status/1271467616838787074,https://cvshealth.com/news-and-insights/articles/addressing-systemic-racism-and-inequality,https://cvshealth.com/about-cvs-health/leadership,https://cvshealth.com/about-cvs-health/diversity,
6,Berkshire Hathaway,https://bhhstoronto.ca/black-lives-matter-standing-in-solidarity/,,,,
7,UnitedHealth Group,https://www.unitedhealthgroup.com/newsroom/posts/2020-06-01-support-george-floyd.html,,https://www.unitedhealthgroup.com/who-we-are/executives.html,https://www.unitedhealthgroup.com/content/dam/UHG/Images/newsroom-2020/research-reports/2019_UHG_SR_Report.pdf,
8,McKesson,Nothing could be found ,,https://www.mckesson.com/About-McKesson/Executive-Officers/,uploaded on google drive,
9,AT&T,https://about.att.com/pages/racial_equality,,https://investors.att.com/corporate-governance/board-of-directors,https://about.att.com/pages/diversity,https://www.vice.com/en/article/8xwkxb/att-has-received-dollar14-million-from-ice-this-year
10,AmerisourceBergen,https://www.linkedin.com/pulse/our-role-true-peace-steve-collis/,,https://www.amerisourcebergen.com/about-our-leadership,https://www.amerisourcebergen.com/careers-life-at-abc/diversity,
